push,projection_id,start,stop,duration,metadata_size,data_size
"['push', 1316, 1258417.236275975, 1258417.236288038, 1.2123025953769684e-05, 272, 20480]","['flush_after', 1316, 1258417.236289811, 1258417.296146984, 0.059857544023543596, 272, 20480]"
"['push', 1410, 1258417.884282393, 1258417.884293304, 1.1021038517355919e-05, 272, 20480]","['flush_after', 1410, 1258417.884295107, 1258417.948144299, 0.0638495129533112, 272, 20480]"
"['push', 1, 1258418.532272591, 1258418.532283702, 1.1211028322577477e-05, 272, 20480]","['flush_after', 1, 1258418.532285736, 1258418.596145027, 0.06385954096913338, 272, 20480]"
"['push', 95, 1258419.180274782, 1258419.180286123, 1.14410649985075e-05, 272, 20480]","['flush_after', 95, 1258419.180287876, 1258419.244144381, 0.06385675608180463, 272, 20480]"
"['push', 189, 1258419.828285498, 1258419.828297009, 1.161196269094944e-05, 272, 20480]","['flush_after', 189, 1258419.828298803, 1258419.89214563, 0.06384706706739962, 272, 20480]"
"['push', 283, 1258420.476277829, 1258420.476289071, 1.1312076821923256e-05, 272, 20480]","['flush_after', 283, 1258420.476290704, 1258420.548143089, 0.07185267494060099, 272, 20480]"
"['push', 377, 1258421.124275061, 1258421.124286763, 1.1791940778493881e-05, 272, 20480]","['flush_after', 377, 1258421.124288636, 1258421.188144711, 0.0638563649263233, 272, 20480]"
"['push', 471, 1258421.788602305, 1258421.788613416, 1.1191004887223244e-05, 272, 20480]","['flush_after', 471, 1258421.788615189, 1258421.868144474, 0.07952973595820367, 272, 20480]"
"['push', 565, 1258422.448293822, 1258422.448306987, 1.3245036825537682e-05, 272, 20480]","['flush_after', 565, 1258422.44830895, 1258422.512143585, 0.06383493589237332, 272, 20480]"
"['push', 659, 1258423.096280524, 1258423.096291574, 1.1130934581160545e-05, 272, 20480]","['flush_after', 659, 1258423.096293238, 1258423.160144232, 0.06385122495703399, 272, 20480]"
"['push', 753, 1258423.74427546, 1258423.74428611, 1.0730000212788582e-05, 272, 20480]","['flush_after', 753, 1258423.744287944, 1258423.808143707, 0.06385601405054331, 272, 20480]"
"['push', 847, 1258424.392278672, 1258424.392289372, 1.0800082236528397e-05, 272, 20480]","['flush_after', 847, 1258424.392291196, 1258424.456143814, 0.06385285896249115, 272, 20480]"
"['push', 941, 1258425.040280522, 1258425.040292515, 1.2092990800738335e-05, 272, 20480]","['flush_after', 941, 1258425.040294178, 1258425.10414375, 0.0638497918844223, 272, 20480]"
"['push', 1035, 1258425.68828691, 1258425.688298212, 1.1391937732696533e-05, 272, 20480]","['flush_after', 1035, 1258425.688303131, 1258425.784145718, 0.09584282711148262, 272, 20480]"
"['push', 1129, 1258426.336277589, 1258426.336288459, 1.0940013453364372e-05, 272, 20480]","['flush_after', 1129, 1258426.336290002, 1258426.400144514, 0.06385475280694664, 272, 20480]"
"['push', 1223, 1258426.984283025, 1258426.984294857, 1.1922093108296394e-05, 272, 20480]","['flush_after', 1223, 1258426.98429652, 1258427.052145576, 0.06784931593574584, 272, 20480]"
