push,projection_id,start,stop,duration,metadata_size,data_size
"['push', 384, 1263528.827705172, 1263528.82771463, 9.538140147924423e-06, 272, 20480]"
"['push', 478, 1263528.859782965, 1263528.859792021, 9.146984666585922e-06, 272, 20480]"
"['push', 572, 1263528.891778742, 1263528.891787018, 8.356058970093727e-06, 272, 20480]"
"['push', 666, 1263528.923773148, 1263528.923781754, 8.675968274474144e-06, 272, 20480]"
"['push', 760, 1263528.955770599, 1263528.955779316, 8.797040209174156e-06, 272, 20480]"
"['push', 854, 1263528.9878207, 1263528.987829376, 8.736038580536842e-06, 272, 20480]"
"['push', 948, 1263529.019772646, 1263529.019781553, 8.987030014395714e-06, 272, 20480]"
"['push', 1042, 1263529.059775183, 1263529.05978423, 9.146984666585922e-06, 272, 20480]"
"['push', 1136, 1263529.075774204, 1263529.07578254, 8.406117558479309e-06, 272, 20480]"
"['push', 1230, 1263529.107773529, 1263529.107781745, 8.286209776997566e-06, 272, 20480]"
"['push', 1324, 1263529.127829545, 1263529.127837671, 8.216127753257751e-06, 272, 20480]"
"['push', 1418, 1263529.143772742, 1263529.143780978, 8.326023817062378e-06, 272, 20480]"
"['push', 9, 1263529.175774221, 1263529.175783479, 9.337905794382095e-06, 272, 20480]"
"['push', 103, 1263529.207772023, 1263529.207780419, 8.455943316221237e-06, 272, 20480]"
"['push', 197, 1263529.227882732, 1263529.227891268, 8.626142516732216e-06, 272, 20480]"
"['push', 291, 1263529.243783188, 1263529.243791804, 8.706934750080109e-06, 272, 20480]"
"['push', 385, 1263529.275790799, 1263529.275799705, 8.987030014395714e-06, 272, 20480]"
"['push', 479, 1263529.30777217, 1263529.307780646, 8.565839380025864e-06, 272, 20480]"
"['push', 573, 1263529.327955715, 1263529.327964742, 9.10717062652111e-06, 272, 20480]"
"['push', 667, 1263529.343775641, 1263529.343784077, 8.516013622283936e-06, 272, 20480]"
"['push', 761, 1263529.375776198, 1263529.375784604, 8.485978469252586e-06, 272, 20480]"
"['push', 855, 1263529.407772768, 1263529.407781404, 8.71601514518261e-06, 272, 20480]"
"['push', 949, 1263529.427987692, 1263529.427995837, 8.226139470934868e-06, 272, 20480]"
"['push', 1043, 1263529.443767763, 1263529.443775958, 8.27503390610218e-06, 272, 20480]"
"['push', 1137, 1263529.475769863, 1263529.475778329, 8.546048775315285e-06, 272, 20480]"
"['push', 1231, 1263529.507768106, 1263529.507776472, 8.455943316221237e-06, 272, 20480]"
"['push', 1325, 1263529.528055275, 1263529.528063811, 8.625909686088562e-06, 272, 20480]"
"['push', 1419, 1263529.543777738, 1263529.543786104, 8.465955033898354e-06, 272, 20480]"
"['push', 10, 1263529.575773105, 1263529.575782884, 9.899027645587921e-06, 272, 20480]"
"['push', 104, 1263529.607771068, 1263529.607779393, 8.415896445512772e-06, 272, 20480]"
"['push', 198, 1263529.628097101, 1263529.628105386, 8.364906534552574e-06, 272, 20480]"
"['push', 292, 1263529.643769429, 1263529.643777805, 8.455943316221237e-06, 272, 20480]"
"['push', 386, 1263529.675769265, 1263529.67577732, 8.144881576299667e-06, 272, 20480]"
"['push', 480, 1263529.707766366, 1263529.707774702, 8.426140993833542e-06, 272, 20480]"
