push,projection_id,start,stop,duration,metadata_size,data_size
"['push', 476, 1258520.503013694, 1258520.503022461, 8.837087079882622e-06, 272, 20480]"
"['push', 570, 1258520.535013087, 1258520.535022094, 9.09692607820034e-06, 272, 20480]"
"['push', 664, 1258520.567010386, 1258520.567018802, 8.485978469252586e-06, 272, 20480]"
"['push', 758, 1258520.589145355, 1258520.589155153, 9.898096323013306e-06, 272, 20480]"
"['push', 852, 1258520.603021834, 1258520.60303032, 8.60588625073433e-06, 272, 20480]"
"['push', 946, 1258520.635016398, 1258520.635024844, 8.536037057638168e-06, 272, 20480]"
"['push', 1040, 1258520.667014999, 1258520.667023996, 9.09692607820034e-06, 272, 20480]"
"['push', 1134, 1258520.689199831, 1258520.689208237, 8.485978469252586e-06, 272, 20480]"
"['push', 1228, 1258520.735007617, 1258520.735016143, 8.606119081377983e-06, 272, 20480]"
"['push', 1322, 1258520.767012429, 1258520.767020975, 8.627073839306831e-06, 272, 20480]"
"['push', 1416, 1258520.789251092, 1258520.789259578, 8.566072210669518e-06, 272, 20480]"
"['push', 7, 1258520.803018688, 1258520.803028737, 1.0159099474549294e-05, 272, 20480]"
"['push', 101, 1258520.835009835, 1258520.835018261, 8.506001904606819e-06, 272, 20480]"
"['push', 195, 1258520.867011803, 1258520.867019998, 8.255010470747948e-06, 272, 20480]"
"['push', 289, 1258520.889308495, 1258520.889317141, 8.726026862859726e-06, 272, 20480]"
"['push', 383, 1258520.903011128, 1258520.903019975, 8.926959708333015e-06, 272, 20480]"
"['push', 477, 1258520.935008457, 1258520.935017474, 9.087147191166878e-06, 272, 20480]"
"['push', 571, 1258520.967010947, 1258520.967019623, 8.776085451245308e-06, 272, 20480]"
"['push', 665, 1258520.98704252, 1258520.987051447, 9.007053449749947e-06, 272, 20480]"
"['push', 759, 1258520.989361989, 1258520.989370295, 8.385861292481422e-06, 272, 20480]"
"['push', 853, 1258521.003116641, 1258521.003125728, 9.156996384263039e-06, 272, 20480]"
"['push', 947, 1258521.035014434, 1258521.03502313, 8.776085451245308e-06, 272, 20480]"
"['push', 1041, 1258521.067020529, 1258521.067029125, 8.675968274474144e-06, 272, 20480]"
"['push', 1135, 1258521.089429872, 1258521.089439029, 9.246869012713432e-06, 272, 20480]"
"['push', 1229, 1258521.103016248, 1258521.103024844, 8.68597999215126e-06, 272, 20480]"
"['push', 1323, 1258521.167015454, 1258521.167024201, 8.817063644528389e-06, 272, 20480]"
"['push', 1417, 1258521.189453039, 1258521.189461976, 9.026844054460526e-06, 272, 20480]","['flush_after', 1417, 1258521.189463239, 1258521.214909693, 0.02544675418175757, 8704, 655360]"
"['push', 8, 1258539.62514352, 1258539.625159991, 1.6561010852456093e-05, 272, 20480]"
"['push', 102, 1258539.655039285, 1258539.655048822, 9.638024494051933e-06, 272, 20480]"
"['push', 196, 1258539.687021134, 1258539.687030472, 9.43802297115326e-06, 272, 20480]"
"['push', 290, 1258539.719021328, 1258539.719029984, 8.746050298213959e-06, 272, 20480]"
"['push', 384, 1258539.755018965, 1258539.755028643, 9.757932275533676e-06, 272, 20480]"
"['push', 478, 1258539.78701442, 1258539.787023126, 8.797040209174156e-06, 272, 20480]"
"['push', 572, 1258539.819020635, 1258539.819029501, 8.946983143687248e-06, 272, 20480]"
"['push', 666, 1258539.855015256, 1258539.855023942, 8.777016773819923e-06, 272, 20480]"
"['push', 760, 1258539.867013427, 1258539.867022534, 9.197043254971504e-06, 272, 20480]"
"['push', 854, 1258539.899012098, 1258539.899020985, 8.956994861364365e-06, 272, 20480]"
"['push', 948, 1258539.95501274, 1258539.955021567, 8.906936272978783e-06, 272, 20480]"
"['push', 1042, 1258539.987009648, 1258539.987018685, 9.12696123123169e-06, 272, 20480]"
"['push', 1136, 1258540.039016815, 1258540.039026102, 9.356997907161713e-06, 272, 20480]"
"['push', 1230, 1258540.071010767, 1258540.071019363, 8.706003427505493e-06, 272, 20480]"
"['push', 1324, 1258540.103013856, 1258540.103022041, 8.255941793322563e-06, 272, 20480]"
"['push', 1418, 1258540.125311477, 1258540.125319772, 8.36583785712719e-06, 272, 20480]"
"['push', 9, 1258540.139008407, 1258540.139017835, 9.488081559538841e-06, 272, 20480]"
"['push', 103, 1258540.171014161, 1258540.171022256, 8.175848051905632e-06, 272, 20480]"
"['push', 197, 1258540.203012883, 1258540.203021288, 8.485978469252586e-06, 272, 20480]"
"['push', 291, 1258540.225364815, 1258540.225373401, 8.665956556797028e-06, 272, 20480]"
"['push', 385, 1258540.23901061, 1258540.239018915, 8.406117558479309e-06, 272, 20480]"
"['push', 479, 1258540.271028026, 1258540.271036622, 8.675968274474144e-06, 272, 20480]"
"['push', 573, 1258540.303011238, 1258540.303019734, 8.585862815380096e-06, 272, 20480]"
"['push', 667, 1258540.32542713, 1258540.325435927, 8.88691283762455e-06, 272, 20480]"
"['push', 761, 1258540.339009416, 1258540.339017611, 8.255010470747948e-06, 272, 20480]"
