type,index,start,stop,duration,metadata_size,data_size
push,755,2553580.163453144,2553580.163471658,1.864507794380188e-05,184,20548
push,849,2553580.763533911,2553580.763552125,1.8314924091100693e-05,184,20548
push,943,2553581.363619388,2553581.363635498,1.621013507246971e-05,184,20548
push,1037,2553581.96369767,2553581.963707679,1.0078772902488708e-05,184,20548
push,1131,2553582.563767487,2553582.563776534,9.106937795877457e-06,184,20548
push,1225,2553583.163836733,2553583.163854396,1.7764046788215637e-05,184,20548
push,1319,2553583.763921108,2553583.763934052,1.3053882867097855e-05,184,20548
push,1413,2553584.363996034,2553584.364008978,1.302408054471016e-05,184,20548
flush_after,1413,2553584.364011433,2553584.411388513,0.047377290204167366,1472,164384
push,4,2553585.011455084,2553585.011472216,1.7251819372177124e-05,184,20548
push,98,2553585.61153496,2553585.611547614,1.2763775885105133e-05,184,20548
push,192,2553586.211608564,2553586.211620015,1.1662021279335022e-05,184,20548
push,286,2553586.811684182,2553586.81169924,1.5118159353733063e-05,184,20548
push,380,2553587.411761553,2553587.41177606,1.4586839824914932e-05,184,20548
push,474,2553588.011840237,2553588.011860855,2.0687934011220932e-05,184,20548
push,568,2553588.611925693,2553588.611937755,1.2132804840803146e-05,184,20548
push,662,2553589.211999217,2553589.212014105,1.4977995306253433e-05,184,20548
flush_after,662,2553589.21201667,2553589.259389723,0.04737327294424176,1472,164384
push,756,2553589.859454702,2553589.859471163,1.6520731151103973e-05,184,20548
push,850,2553590.459530622,2553590.459543987,1.3424549251794815e-05,184,20548
push,944,2553591.059606222,2553591.05962099,1.4857854694128036e-05,184,20548
push,1038,2553591.659684878,2553591.65969655,1.173233613371849e-05,184,20548
push,1132,2553592.259762361,2553592.259775876,1.3584736734628677e-05,184,20548
push,1226,2553592.859838001,2553592.859852698,1.475820317864418e-05,184,20548
push,1320,2553593.459914873,2553593.459929701,1.488812267780304e-05,184,20548
push,1414,2553594.059992968,2553594.060005631,1.2733042240142822e-05,184,20548
flush_after,1414,2553594.060007815,2553594.107388342,0.047380727250128984,1472,164384
push,5,2553594.707454464,2553594.707472488,1.8103979527950287e-05,184,20548
push,99,2553595.307533931,2553595.307548549,1.4698132872581482e-05,184,20548
push,193,2553595.907609321,2553595.907622946,1.3754703104496002e-05,184,20548
push,287,2553596.507686904,2553596.507699528,1.2693926692008972e-05,184,20548
push,381,2553597.107761412,2553597.107775639,1.4297198504209518e-05,184,20548
push,475,2553597.707836551,2553597.707850387,1.3906043022871017e-05,184,20548
