push,projection_id,start,stop,duration,metadata_size,data_size
"['push', 1037, 1258517.335715962, 1258517.335724348, 8.455943316221237e-06, 272, 20480]"
"['push', 1131, 1258517.36771829, 1258517.367726525, 8.334871381521225e-06, 272, 20480]"
"['push', 1225, 1258517.389038203, 1258517.389046689, 8.57585109770298e-06, 272, 20480]"
"['push', 1319, 1258517.403717316, 1258517.403725882, 8.655944839119911e-06, 272, 20480]"
"['push', 1413, 1258517.435716017, 1258517.435724192, 8.266186341643333e-06, 272, 20480]"
"['push', 4, 1258517.467722142, 1258517.46773692, 1.4867866411805153e-05, 272, 20480]"
"['push', 98, 1258517.489085096, 1258517.489093622, 8.6161307990551e-06, 272, 20480]"
"['push', 192, 1258517.503730015, 1258517.503738832, 8.887145668268204e-06, 272, 20480]"
"['push', 286, 1258517.535719318, 1258517.535727804, 8.555827662348747e-06, 272, 20480]"
"['push', 380, 1258517.567717077, 1258517.567725613, 8.596107363700867e-06, 272, 20480]"
"['push', 474, 1258517.589136568, 1258517.589145214, 8.706003427505493e-06, 272, 20480]"
"['push', 568, 1258517.603725682, 1258517.603737223, 1.1641066521406174e-05, 272, 20480]"
"['push', 662, 1258517.63572297, 1258517.635731436, 8.546048775315285e-06, 272, 20480]"
"['push', 756, 1258517.66772161, 1258517.667730387, 8.846865966916084e-06, 272, 20480]"
"['push', 850, 1258517.689192828, 1258517.689201424, 8.706003427505493e-06, 272, 20480]"
"['push', 944, 1258517.703715788, 1258517.703724054, 8.336035534739494e-06, 272, 20480]"
"['push', 1038, 1258517.735810669, 1258517.735819536, 8.937204256653786e-06, 272, 20480]"
"['push', 1132, 1258517.767723138, 1258517.767731775, 8.706934750080109e-06, 272, 20480]"
"['push', 1226, 1258517.789247626, 1258517.789256002, 8.455943316221237e-06, 272, 20480]"
"['push', 1320, 1258517.803725882, 1258517.803734678, 8.865958079695702e-06, 272, 20480]"
"['push', 1414, 1258517.835717129, 1258517.835725605, 8.556060492992401e-06, 272, 20480]"
"['push', 5, 1258517.86771648, 1258517.867725057, 8.64686444401741e-06, 272, 20480]"
