type,index,start,stop,duration,metadata_size,data_size
push,473,1258476.656502666,1258476.656516832,1.423596404492855e-05,184,20548
push,567,1258477.256577861,1258477.256591236,1.3465061783790588e-05,184,20548
push,661,1258477.856654108,1258477.856668285,1.4246907085180283e-05,184,20548
push,755,1258478.456730786,1258478.456748058,1.7333077266812325e-05,184,20548
push,849,1258479.056811532,1258479.056830918,1.947605051100254e-05,184,20548
push,943,1258479.656894973,1258479.656910662,1.5758909285068512e-05,184,20548
push,1037,1258480.256972252,1258480.256984976,1.2794043868780136e-05,184,20548
push,1131,1258480.857047047,1258480.857065261,1.8313992768526077e-05,184,20548
push,1225,1258481.457139354,1258481.457163179,2.3995060473680496e-05,184,20548
push,1319,1258482.057229527,1258482.05724706,1.7622951418161392e-05,184,20548
push,1413,1258482.657310433,1258482.65732488,1.4537014067173004e-05,184,20548
flush_after,1413,1258482.657327926,1258482.704008633,0.046680957078933716,2944,328768
push,4,1258483.304075753,1258483.304097173,2.1519837900996208e-05,184,20548
push,98,1258483.904161267,1258483.904177688,1.651095226407051e-05,184,20548
push,192,1258484.504241012,1258484.504259156,1.8344027921557426e-05,184,20548
push,286,1258485.104324372,1258485.104342576,1.8284888938069344e-05,184,20548
push,380,1258485.704413023,1258485.704430996,1.819385215640068e-05,184,20548
push,474,1258486.304496924,1258486.304519016,2.219201996922493e-05,184,20548
push,568,1258486.904584643,1258486.904596275,1.1712079867720604e-05,184,20548
push,662,1258487.504658987,1258487.504674146,1.5249010175466537e-05,184,20548
push,756,1258488.104736046,1258488.104753388,1.740199513733387e-05,184,20548
push,850,1258488.704823695,1258488.704839885,1.6250181943178177e-05,184,20548
push,944,1258489.304902837,1258489.304920029,1.7273006960749626e-05,184,20548
push,1038,1258489.904983673,1258489.90499808,1.4476943761110306e-05,184,20548
push,1132,1258490.505061784,1258490.505078725,1.7022015526890755e-05,184,20548
push,1226,1258491.105141688,1258491.105165302,2.3715198040008545e-05,184,20548
