type,projection_id,start,stop,duration,metadata_size,data_size
push,1415,1230241.655870822,1230241.655882934,1.2181932106614113e-05,272,10240
push,6,1230241.687873286,1230241.687882464,9.248033165931702e-06,272,10240
push,100,1230241.719889057,1230241.719898204,9.2268455773592e-06,272,10240
push,194,1230241.741841983,1230241.741850599,8.706934750080109e-06,272,10240
push,288,1230241.755863936,1230241.755872543,8.677132427692413e-06,272,10240
push,382,1230241.787864488,1230241.787873185,8.777016773819923e-06,272,10240
push,476,1230241.819867635,1230241.81987585,8.285976946353912e-06,272,10240
push,570,1230241.841895041,1230241.841903417,8.44593159854412e-06,272,10240
push,664,1230241.85586125,1230241.855869696,8.526025339961052e-06,272,10240
push,758,1230241.887864577,1230241.887873223,8.736038580536842e-06,272,10240
push,852,1230241.919863846,1230241.919872262,8.47596675157547e-06,272,10240
push,946,1230241.941950414,1230241.941958669,8.324859663844109e-06,272,10240
push,1040,1230241.955872129,1230241.955880485,8.426140993833542e-06,272,10240
push,1134,1230241.979892866,1230241.979901412,8.606119081377983e-06,272,10240
push,1228,1230241.991871765,1230241.991880151,8.455943316221237e-06,272,10240
push,1322,1230242.023864341,1230242.023873028,8.78702849149704e-06,272,10240
push,1416,1230242.055871466,1230242.055880142,8.766073733568192e-06,272,10240
push,7,1230242.087861848,1230242.087870154,8.405884727835655e-06,272,10240
push,101,1230242.119872279,1230242.119880895,8.695991709828377e-06,272,10240
push,195,1230242.142058974,1230242.1420675,8.626142516732216e-06,272,10240
push,289,1230242.155864711,1230242.155873047,8.426140993833542e-06,272,10240
push,383,1230242.187860855,1230242.187869291,8.495990186929703e-06,272,10240
push,477,1230242.219864141,1230242.219872577,8.516013622283936e-06,272,10240
push,571,1230242.24211632,1230242.242124906,8.665956556797028e-06,272,10240
push,665,1230242.255870641,1230242.255879037,8.465955033898354e-06,272,10240
push,759,1230242.287860903,1230242.287869319,8.47596675157547e-06,272,10240
push,853,1230242.319863609,1230242.319872155,8.645933121442795e-06,272,10240
push,947,1230242.342168847,1230242.342177222,8.44593159854412e-06,272,10240
push,1041,1230242.355873735,1230242.355882411,8.746050298213959e-06,272,10240
push,1135,1230242.38786561,1230242.387873996,8.485978469252586e-06,272,10240
push,1229,1230242.419863287,1230242.419871672,8.456176146864891e-06,272,10240
push,1323,1230242.442228968,1230242.442237804,8.9260283857584e-06,272,10240
push,1417,1230242.455870157,1230242.455878653,8.595874533057213e-06,272,10240
push,8,1230242.487871089,1230242.487883973,1.2953998520970345e-05,272,10240
push,102,1230242.519899833,1230242.519912166,1.2453878298401833e-05,272,10240
push,196,1230242.542303927,1230242.542313655,9.807990863919258e-06,272,10240
push,290,1230242.555884963,1230242.5558941,9.197043254971504e-06,272,10240
push,384,1230242.587868693,1230242.587877539,8.9260283857584e-06,272,10240
push,478,1230242.619989971,1230242.619998838,8.936971426010132e-06,272,10240
